Country.Code,Country Name,Year,DEMOC,AUTOC,POLITY,POLITY2
CAP,Cape Verde,2010,10,0,10,10
GNB,Guinea-Bissau,1974,0,7,-7,-7
GNB,Guinea-Bissau,1975,0,7,-7,-7
GNB,Guinea-Bissau,1976,0,7,-7,-7
GNB,Guinea-Bissau,1977,0,7,-7,-7
GNB,Guinea-Bissau,1978,0,7,-7,-7
GNB,Guinea-Bissau,1979,0,7,-7,-7
GNB,Guinea-Bissau,1980,0,7,-7,-7
GNB,Guinea-Bissau,1981,0,7,-7,-7
GNB,Guinea-Bissau,1982,0,7,-7,-7
GNB,Guinea-Bissau,1983,0,7,-7,-7
GNB,Guinea-Bissau,1984,0,8,-8,-8
GNB,Guinea-Bissau,1985,0,8,-8,-8
GNB,Guinea-Bissau,1986,0,8,-8,-8
GNB,Guinea-Bissau,1987,0,8,-8,-8
GNB,Guinea-Bissau,1988,0,8,-8,-8
GNB,Guinea-Bissau,1989,0,8,-8,-8
GNB,Guinea-Bissau,1990,0,8,-8,-8
GNB,Guinea-Bissau,1991,0,6,-6,-6
GNB,Guinea-Bissau,1992,0,6,-6,-6
GNB,Guinea-Bissau,1993,0,6,-6,-6
GNB,Guinea-Bissau,1994,5,0,5,5
GNB,Guinea-Bissau,1995,5,0,5,5
GNB,Guinea-Bissau,1996,5,0,5,5
GNB,Guinea-Bissau,1997,5,0,5,5
GNB,Guinea-Bissau,1998,-77,-77,-77,0
GNB,Guinea-Bissau,1999,-88,-88,-88,3
GNB,Guinea-Bissau,2000,5,0,5,5
GNB,Guinea-Bissau,2001,5,0,5,5
GNB,Guinea-Bissau,2002,5,0,5,5
GNB,Guinea-Bissau,2003,1,2,-1,-1
GNB,Guinea-Bissau,2004,1,2,-1,-1
GNB,Guinea-Bissau,2005,6,0,6,6
GNB,Guinea-Bissau,2006,6,0,6,6
GNB,Guinea-Bissau,2007,6,0,6,6
GNB,Guinea-Bissau,2008,6,0,6,6
GNB,Guinea-Bissau,2009,7,1,6,6
GNB,Guinea-Bissau,2010,7,1,6,6
EQG,Equatorial Guinea,1968,3,1,2,2
EQG,Equatorial Guinea,1969,0,7,-7,-7
EQG,Equatorial Guinea,1970,0,7,-7,-7
EQG,Equatorial Guinea,1971,0,7,-7,-7
EQG,Equatorial Guinea,1972,0,7,-7,-7
EQG,Equatorial Guinea,1973,0,7,-7,-7
EQG,Equatorial Guinea,1974,0,7,-7,-7
EQG,Equatorial Guinea,1975,0,7,-7,-7
EQG,Equatorial Guinea,1976,0,7,-7,-7
EQG,Equatorial Guinea,1977,0,7,-7,-7
EQG,Equatorial Guinea,1978,0,7,-7,-7
EQG,Equatorial Guinea,1979,0,7,-7,-7
EQG,Equatorial Guinea,1980,0,7,-7,-7
EQG,Equatorial Guinea,1981,0,7,-7,-7
EQG,Equatorial Guinea,1982,0,7,-7,-7
EQG,Equatorial Guinea,1983,0,7,-7,-7
EQG,Equatorial Guinea,1984,0,7,-7,-7
EQG,Equatorial Guinea,1985,0,7,-7,-7
EQG,Equatorial Guinea,1986,0,7,-7,-7
EQG,Equatorial Guinea,1987,0,7,-7,-7
EQG,Equatorial Guinea,1988,0,7,-7,-7
EQG,Equatorial Guinea,1989,0,7,-7,-7
EQG,Equatorial Guinea,1990,0,7,-7,-7
EQG,Equatorial Guinea,1991,0,7,-7,-7
EQG,Equatorial Guinea,1992,0,7,-7,-7
EQG,Equatorial Guinea,1993,0,5,-5,-5
EQG,Equatorial Guinea,1994,0,5,-5,-5
EQG,Equatorial Guinea,1995,0,5,-5,-5
EQG,Equatorial Guinea,1996,0,5,-5,-5
EQG,Equatorial Guinea,1997,0,5,-5,-5
EQG,Equatorial Guinea,1998,0,5,-5,-5
EQG,Equatorial Guinea,1999,0,5,-5,-5
EQG,Equatorial Guinea,2000,0,5,-5,-5
EQG,Equatorial Guinea,2001,0,5,-5,-5
EQG,Equatorial Guinea,2002,0,5,-5,-5
EQG,Equatorial Guinea,2003,0,5,-5,-5
EQG,Equatorial Guinea,2004,0,5,-5,-5
EQG,Equatorial Guinea,2005,0,5,-5,-5
EQG,Equatorial Guinea,2006,0,5,-5,-5
EQG,Equatorial Guinea,2007,0,5,-5,-5
EQG,Equatorial Guinea,2008,0,5,-5,-5
EQG,Equatorial Guinea,2009,0,5,-5,-5
EQG,Equatorial Guinea,2010,0,5,-5,-5
GAM,Gambia,1965,8,0,8,8
GAM,Gambia,1966,8,0,8,8
